-- linha superior
D,D,D,D,D,D,D,D,D,D,D,D
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-- linha inferior
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
D,D,D,D,D,D,D,D,D,D,D,D
-- diagonais
0,0,0,0,D,0,0,0,0,0,0,0
0,0,0,D,0,0,0,0,0,0,0,D
0,0,D,0,0,0,0,0,0,0,D,0
0,D,0,0,0,0,0,0,0,D,0,0
D,0,0,0,0,0,0,0,D,0,0,0
0,0,0,0,0,0,0,D,0,0,0,0
0,0,0,0,0,0,D,0,0,0,0,0
0,0,0,0,0,D,0,0,0,0,0,0
0,0,0,0,D,0,0,0,0,0,0,0
0,0,0,D,0,0,0,0,0,0,0,D
0,0,D,0,0,0,0,0,0,0,D,0
0,D,0,0,0,0,0,0,0,D,0,0
D,0,0,0,0,0,0,0,D,0,0,0
0,0,0,0,0,0,0,D,0,0,0,0
0,0,0,0,0,0,D,0,0,0,0,0
0,0,0,0,0,D,0,0,0,0,0,0
0,0,0,0,D,0,0,0,0,0,0,0
0,0,0,D,0,0,0,0,0,0,0,D
-- quadrado cocentricos
0,0,0,0,0,0,0,0,0,0,0,0
